Date       ,Season               ,Day Name                     ,Meditation        ,OT Reading                               ,NT Reading
2024-03-26 ,Lent                 ,Holy Tuesday                 ,Psalm             ,Exodus 5-7:13                            ,John 12:37-50; Matthew 22:1-46
2024-03-27 ,Lent                 ,Holy Wednesday               ,Psalm             ,Exodus 7:14-10                           ,Matthew 23-24
2024-03-28 ,Lent                 ,Maundy Thursday              ,Psalm             ,Exodus 11-12                             ,John 13-16; Luke 22:1-38
2024-03-29 ,Lent                 ,Good Friday                  ,Psalm             ,Lamentations 1-2;Lamentations 3-5        ,John 17-19; Matthew 26:36-27:61
2024-03-30 ,Lent                 ,Holy Saturday                ,Psalm             ,Esther 1-5;Esther 6-10                   ,
2024-03-31 ,Easter               ,EASTER SUNDAY                ,Psalm             ,Exodus 13-15:21                          ,John 20:1-18; Matthew 27:62-28:10
2024-04-01 ,Easter               ,Monday of Week 1             ,Psalm             ,Exodus 15:22-17:16                       ,John 20:19-31; Matthew 28:11-20
2024-04-02 ,Easter               ,Tuesday of Week 1            ,Psalm             ,Exodus 18-19                             ,John 21
2024-04-03 ,Easter               ,Wednesday of Week 1          ,Psalm             ,                                         ,
2024-04-04 ,Easter               ,Thursday of Week 1           ,Psalm             ,Exodus 20-21:11                          ,
2024-04-05 ,Easter               ,Friday of Week 1             ,Psalm             ,Exodus 21:12-23:33                       ,
2024-04-06 ,Easter               ,Saturday of Week 1           ,Psalm             ,"Exodus 24-25,Exodus 26-27,"             ,
2024-04-07 ,Easter               ,2nd Sunday                   ,Psalm             ,                                         ,
2024-04-08 ,Easter               ,ANNUNCIATION                 ,Psalm             ,                                         ,
2024-04-09 ,Easter               ,Tuesday of Week 2            ,Psalm             ,                                         ,
2024-04-10 ,Easter               ,Wednesday of Week 2          ,Psalm             ,"Exodus 28-29,Exodus 30-31,Exodus 32-33" ,
2024-04-11 ,Easter               ,Thursday of Week 2           ,Psalm             ,Exodus 34                                ,
2024-04-12 ,Easter               ,Friday of Week 2             ,Psalm             ,Exodus 35-40                             ,
2024-04-13 ,Easter               ,Saturday of Week 2           ,Psalm             ,                                         ,
2024-04-14 ,Easter               ,3rd Sunday                   ,Psalm             ,Leviticus 1-4                            ,
2024-04-15 ,Easter               ,Monday of Week 3             ,Psalm             ,Leviticus 5-7                            ,
2024-04-16 ,Easter               ,Tuesday of Week 3            ,Psalm             ,Leviticus 8-10                           ,
2024-04-17 ,Easter               ,Wednesday of Week 3          ,Psalm             ,Leviticus 11-15                          ,
2024-04-18 ,Easter               ,Thursday of Week 3           ,Psalm             ,Leviticus 16                             ,
2024-04-19 ,Easter               ,Friday of Week 3             ,Psalm             ,Leviticus 17-20                          ,
2024-04-20 ,Easter               ,Saturday of Week 3           ,Psalm             ,Leviticus 21-23                          ,
2024-04-21 ,Easter               ,4th Sunday                   ,Psalm             ,Leviticus 24-25                          ,
2024-04-22 ,Easter               ,Monday of Week 4             ,Psalm             ,Leviticus 26-27                          ,
2024-04-23 ,Easter               ,Tuesday of Week 4            ,Psalm             ,                                         ,
2024-04-24 ,Easter               ,Wednesday of Week 4          ,Psalm             ,Numbers 1-4                              ,
2024-04-25 ,Easter               ,Thursday of Week 4           ,Psalm             ,Numbers 5-7                              ,
2024-04-26 ,Easter               ,Friday of Week 4             ,Psalm             ,Numbers 8-10                             ,
2024-04-27 ,Easter               ,Saturday of Week 4           ,Psalm             ,Numbers 11-14                            ,
2024-04-28 ,Easter               ,5th Sunday                   ,Psalm             ,Numbers 15-18                            ,
2024-04-29 ,Easter               ,Monday of Week 5             ,Psalm             ,Numbers 19-21                            ,
2024-04-30 ,Easter               ,Tuesday of Week 5            ,Psalm             ,Numbers 22-24                            ,
2024-05-01 ,Easter               ,Wednesday of Week 5          ,Psalm             ,Numbers 25-27                            ,
2024-05-02 ,Easter               ,Thursday of Week 5           ,Psalm             ,Numbers 28-30                            ,
2024-05-03 ,Easter               ,Friday of Week 5             ,Psalm             ,Numbers 31-32                            ,
2024-05-04 ,Easter               ,Saturday of Week 5           ,Psalm             ,Numbers 33-36                            ,
2024-05-05 ,Easter               ,6th Sunday                   ,Psalm             ,                                         ,
2024-05-06 ,Easter               ,Monday of Week 6             ,Psalm             ,Deuteronomy 1-4                          ,
2024-05-07 ,Easter               ,Tuesday of Week 6            ,Psalm             ,Deuteronomy 6-9                          ,
2024-05-08 ,Easter               ,Wednesday of Week 6          ,Psalm             ,                                         ,
2024-05-09 ,Easter               ,ASCENSION DAY                ,                  ,                                         ,Acts 1:1-11
2024-05-10 ,Easter               ,Friday of Week 6             ,Psalm             ,                                         ,
2024-05-11 ,Easter               ,Saturday of Week 6           ,Psalm             ,Deuteronomy 10-14                        ,
2024-05-12 ,Easter               ,7th Sunday                   ,Psalm             ,Deuteronomy 15-19                        ,
2024-05-13 ,Easter               ,Monday of Week 7             ,Psalm             ,Deuteronomy 20-24                        ,
2024-05-14 ,Easter               ,Tuesday of Week 7            ,Psalm             ,Deuteronomy 25-27                        ,
